eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,14,343,HACEMOS POR NUESTRO PAIS,POSITIVO,9
GENERAL,Comuna 01,1,14,343,,EN BLANCO,5
GENERAL,Comuna 01,1,14,343,,NULO,2
GENERAL,Comuna 01,1,14,343,,IMPUGNADO,0
GENERAL,Comuna 01,1,14,343,,RECURRIDO,0
GENERAL,Comuna 01,1,14,343,,COMANDO,0
GENERAL,Comuna 01,1,15,344,UNION POR LA PATRIA,POSITIVO,86
GENERAL,Comuna 01,1,15,344,JUNTOS POR EL CAMBIO,POSITIVO,83
GENERAL,Comuna 01,1,15,344,LA LIBERTAD AVANZA,POSITIVO,52
GENERAL,Comuna 01,1,15,344,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,16
GENERAL,Comuna 01,1,15,344,HACEMOS POR NUESTRO PAIS,POSITIVO,2
GENERAL,Comuna 01,1,15,344,,EN BLANCO,1
GENERAL,Comuna 01,1,15,344,,NULO,4
GENERAL,Comuna 01,1,15,344,,IMPUGNADO,0
GENERAL,Comuna 01,1,15,344,,RECURRIDO,0
GENERAL,Comuna 01,1,15,344,,COMANDO,0
GENERAL,Comuna 01,1,16,341,UNION POR LA PATRIA,POSITIVO,104
GENERAL,Comuna 01,1,16,341,JUNTOS POR EL CAMBIO,POSITIVO,84
GENERAL,Comuna 01,1,16,341,LA LIBERTAD AVANZA,POSITIVO,34
GENERAL,Comuna 01,1,16,341,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
GENERAL,Comuna 01,1,16,341,HACEMOS POR NUESTRO PAIS,POSITIVO,8
GENERAL,Comuna 01,1,16,341,,EN BLANCO,1
GENERAL,Comuna 01,1,16,341,,NULO,4
GENERAL,Comuna 01,1,16,341,,IMPUGNADO,0
GENERAL,Comuna 01,1,16,341,,RECURRIDO,0
GENERAL,Comuna 01,1,16,341,,COMANDO,0
GENERAL,Comuna 01,1,17,341,UNION POR LA PATRIA,POSITIVO,95
GENERAL,Comuna 01,1,17,341,JUNTOS POR EL CAMBIO,POSITIVO,77
GENERAL,Comuna 01,1,17,341,LA LIBERTAD AVANZA,POSITIVO,43
GENERAL,Comuna 01,1,17,341,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,16
GENERAL,Comuna 01,1,17,341,HACEMOS POR NUESTRO PAIS,POSITIVO,7
